time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-11-12 06:37:13,-15737.4059517,-41993651.7384586,-75857.4261876417,-489624.271187793,-11380.7111583397,-481371.821814241,-19493474.3567841,-44423.563139721,1.4956068093311
2023-11-12 06:35:47,-65784.1793120715,-17238265.3936585,-114078.990415712,-473676.401219831,-12344.7677639345,-616378.489205469,-7260460.17607794,-66551.9434447136,1.52758089275845
2023-11-12 06:34:17,-15839.1767054812,-31894290.2959623,-95017.2865080641,-485921.4168051,-13241.9522384687,-441366.257918399,-9705866.7156115,-46060.2880347475,1.40456736628188
2023-11-12 06:32:49,-35367.9219639775,-23536722.9531972,-54123.7943372819,-465064.15863586,-12597.6688234575,-445198.426898231,-2819282.03485146,-40355.2106000545,1.2870952520997
2023-11-12 06:31:20,-27417.9722226019,-39746789.7980145,-237702.531671705,-479023.223156692,-13350.7614737336,-432150.913389663,-3378955.38250034,-82420.8472855814,1.53779722139145
2023-11-12 06:29:50,-38509.7705767968,-22896581.4101129,-120163.557357404,-484185.49724668,-12572.742033129,-437376.845813124,-6892610.81059643,-52435.2154858777,1.43174861910293
2023-11-12 06:28:20,-21957.2483218001,-32530511.1457986,-140324.294284786,-473197.178551146,-12482.5778016179,-615396.302873604,-5369761.22330364,-40985.3306708838,1.42648572369738
2023-11-12 06:26:54,-20525.6208358483,-20123274.4498553,-92549.1109443188,-465591.016515788,-12660.5574650875,-469161.207412502,-3950458.60399944,-44012.2265472343,1.30204531110783
2023-11-12 06:25:27,-40266.8744738111,-31460317.8868835,-69067.068297586,-484908.282115185,-12418.1599114963,-435075.439215275,-3556328.74084988,-28940.2040249549,1.31822421985011
2023-11-12 06:23:59,-28385.9438823773,-21392422.8621706,-75638.8193890386,-473612.381872265,-12529.5246399564,-450324.981547381,-4232692.84885721,-54127.1436987152,1.34122895962381
2023-11-12 06:22:30,-58583.4121276563,-21406936.8760533,-124318.283841056,-471724.478480363,-12925.1733214739,-433586.322306624,-7039770.99268176,-103344.429845841,1.56575468143593
2023-11-12 06:20:58,-13456.9584170555,-50531166.167241,-152280.338584555,-481842.066535561,-12714.2935924449,-460664.719506084,-4976401.35914984,-35771.3858990446,1.40269296867558
2023-11-12 06:19:24,-13253.5766264675,-59251317.5234604,-97481.8393885527,-478468.274189319,-13422.0278558539,-475732.271509548,-3233013.83309588,-34584.4110938358,1.36576884572953
2023-11-12 06:17:53,-10572.6139026794,-37260741.1506215,-102724.264424242,-475131.114037834,-13231.6381319849,-467127.454045193,-2774436.69214344,-41567.0164066025,1.30836860907179
2023-11-12 06:16:22,-51051.1654853265,-16601386.3135302,-92990.0620653433,-463047.724323684,-11935.8619275919,-423921.623411425,-5383398.13601112,-45921.9447445262,1.36669096064683
2023-11-12 06:14:53,-9507.76052006911,-38534989.3108479,-112386.835815599,-484526.335496628,-13159.5633998139,-482614.862342449,-3323730.86839176,-36200.9845739124,1.31357198634995
2023-11-12 06:13:26,-29742.1990220745,-26340676.8028563,-76246.3253736588,-471928.931680407,-11997.8835496216,-442142.824732881,-4925350.97793729,-47820.1374428925,1.35292058298053
2023-11-12 06:11:58,-40980.4900674736,-15455558.4520694,-87666.9855280724,-464293.114750163,-12558.5366034055,-436580.249044255,-4677401.35288588,-37057.8527662186,1.31199226355768
2023-11-12 06:10:30,-11375.5657514766,-28442253.5853611,-84182.0274974831,-470936.913510796,-12876.2965487725,-463564.742313437,-3334654.89290509,-38087.4419684332,1.26807555492229
2023-11-12 06:09:04,-54789.2752199772,-23564405.0542561,-76985.5581668007,-471222.661642392,-12566.3237881302,-425009.903020536,-4376402.12786463,-53782.2021346336,1.39963349731956
2023-11-12 06:07:37,-12082.6280158644,-43642771.9319478,-79117.3444126419,-488687.0334352,-12642.7196051408,-486976.330965094,-12712423.6132501,-49679.9790931052,1.45726035054427
2023-11-12 06:06:11,-60540.7756378379,-20793916.2030394,-86187.7731980757,-474328.212336984,-12363.5998141157,-435717.007253029,-3818792.62870778,-40058.2208067409,1.36563367243068
2023-11-12 06:04:43,-42153.2964920746,-26254747.7819658,-60717.5614258515,-485274.85260821,-12634.2553797315,-436901.109258917,-2754636.35148216,-30038.6243612551,1.28890060216707
2023-11-12 06:03:14,-40037.7042875365,-24310774.7677269,-51875.3722301107,-465090.921364679,-12608.6701863725,-449791.259497842,-3153002.5205879,-45337.1692793201,1.31786516806132
2023-11-12 06:01:45,-31335.3756422473,-40129504.4776823,-91686.4013698149,-480180.765254683,-13501.7998640673,-463005.093477069,-3259609.06676438,-88143.4014658378,1.48502405980945
2023-11-12 06:00:15,-25650.4825854134,-26028081.1524327,-197566.497774226,-459051.985328687,-8503.88967476554,-984306.399877659,-113227805.836861,-255754.528220271,2.32351605252129
2023-11-12 05:58:46,-22989.5569588347,-32121916.1957873,-119717.051659547,-475599.3894053,-12898.3967461175,-484337.632643956,-2985945.69464797,-34867.2333951051,1.33610032050564
2023-11-12 05:57:19,-20136.5674918872,-19889086.8581284,-92022.2791792078,-463369.370574914,-12634.4800663317,-463684.500842127,-3797146.93580311,-43735.3312156383,1.29448657780228
2023-11-12 05:55:52,-36091.3334020759,-29638872.5103882,-63864.7109537985,-472889.925072895,-12442.4963324615,-433634.482191065,-2917872.94387418,-30903.0455367251,1.29140528656031
2023-11-12 05:54:22,-24089.6745761662,-39316522.4654591,-207971.496746179,-484728.121186873,-10621.2575170187,-449407.190103504,-20299736.2618222,-29101.2225590437,1.5421920347239
2023-11-12 05:52:52,-18045.8564253529,-38724820.2165767,-91332.463024792,-472715.235661866,-13930.1385394575,-437479.330595267,-34749776.358932,-206816.463650069,1.8579073129475
2023-11-12 05:51:24,-13866.778441869,-45676992.6609656,-111043.893415932,-479661.753898846,-13453.2026810071,-459867.395011648,-2952114.75145968,-63066.4886729252,1.40553884052469
2023-11-12 05:49:55,-12519.9848550935,-58228827.2679664,-94397.9856860694,-478007.811938541,-13095.2432884719,-473794.563789904,-3104604.32525782,-36586.2292686855,1.35947095900963
2023-11-12 05:48:28,-12580.6978215282,-39697861.4409888,-95873.7252759763,-475439.23993028,-13236.6087034909,-459775.742321555,-2688846.95787909,-42044.0727578246,1.31759053426292
2023-11-12 05:47:00,-52785.7747392365,-14940183.05972,-94720.6780396694,-459295.681825902,-12007.5758293409,-423857.666035802,-5203205.32444505,-45602.1510964191,1.35989053795405
2023-11-12 05:45:32,-9912.07335533264,-38416796.3333359,-109427.46697714,-484701.761112434,-13179.8477221688,-482557.109655144,-2994591.71316149,-36582.534843358,1.30890128496574
2023-11-12 05:44:06,-30799.8152197431,-16201523.714541,-87322.4072754274,-444487.444188809,-12301.6304775414,-440510.301882661,-17337745.746696,-59373.3226974673,1.46510329320723
2023-11-12 05:42:40,-45537.4584447735,-16357800.5519764,-84928.7213207114,-465364.814423531,-12439.9818140171,-436589.572213859,-3906317.63467332,-35308.9371421406,1.30631943296525
2023-11-12 05:41:11,-10267.9480803143,-28926127.3957225,-85568.9243755403,-471551.630620132,-12917.7688810732,-464877.1429557,-3731321.27060292,-38512.2080125446,1.27381663307809
2023-11-12 05:39:46,-45452.2127222644,-30249895.5646114,-55840.7829415283,-471152.441557558,-12327.3159707792,-426285.299158341,-2643272.72647739,-28599.2654684212,1.29035278743712
2023-11-12 05:38:14,-12255.5703908962,-44124308.7983945,-79925.4192722377,-488508.869145952,-12618.8170301744,-476850.01964672,-12480596.4973345,-49875.2742761527,1.45581641773091
2023-11-12 05:36:47,-57461.6273368013,-21058135816265,-2335949612229.78,-2351198452053.58,-12635.2198845111,-2327346402169.43,-2494851884721.79,-1480269464105.25,3214.85712815078
2023-11-12 05:35:27,-47772.2439375042,-38746857.699564,-73986.6809140372,-488124.510024109,-12372.3324131111,-484123.434231911,-9175544.76093074,-33083.1855909489,1.45398694349066
2023-11-12 05:34:00,-35489.4939814023,-23283441.4543341,-56759.8212120583,-465490.670892955,-12648.5136385906,-446840.397780984,-2892900.14626041,-41430.4051627718,1.29384813049814
2023-11-12 05:32:32,-12708.7080318865,-39770419.5685703,-88011.0857851445,-479113.522435694,-13932.6418999469,-472054.861672347,-4495529.71247651,-147208.298867351,1.54166474532783
2023-11-12 05:31:03,-26837.5848431785,-26570461.4097911,-168759.006494889,-469765.255371131,-10521.2400289646,-897207.192665563,-72613336.6966671,-182267.012095773,2.09928948786577
2023-11-12 05:29:33,-20842.4225901904,-33732489.710839,-118067.803458936,-475727.422009027,-12949.5302255751,-471549.809803341,-3094523.60181314,-35019.1493731648,1.33334231538318
2023-11-12 05:28:06,-22812.8495352813,-21636203.8148732,-94871.7682397437,-466903.882216718,-12687.4253474937,-467963.518772741,-3845347.06220946,-45274.9827027073,1.31809784799467
2023-11-12 05:26:39,-41670.380475769,-41540915.7732727,-98334.0717002589,-484305.071969156,-9245.44750545759,-437286.712078631,-25986302.1758939,-36513.5367335796,1.57451985539992
2023-11-12 05:25:13,-20958.2591234605,-20094939.0552045,-80515.3005930576,-473364.239827756,-12498.0618987496,-449718.64120969,-4530635.41552916,-53054.9797831802,1.32108166311904
2023-11-12 05:23:44,-53525.9580445848,-24323854.9045136,-85555.9357980318,-471907.444571137,-12801.5478800934,-426898.965390684,-3246148.29147033,-65754.8468445055,1.41729795595407
2023-11-12 05:22:16,-10609.8711904122,-46162434.8931067,-118141.42366839,-480247.270863175,-13272.0810078136,-460025.735589315,-2887207.33298293,-50402.0915701149,1.36667117886326
2023-11-12 05:20:45,-12162.4213720003,-59807285.5212777,-84719.4563763169,-477542.676493756,-11945.439127777,-474168.050778206,-8013238.5580507,-43802.9060632109,1.4332793665346
2023-11-12 05:19:17,-12280.1940426267,-47938411.3537887,-2899286.06397726,-473261.045794252,-12626.8945979005,-407652.401257731,-3941580.82109882,-45308.7481389186,1.95890985519047
2023-11-12 05:17:47,-50538.2921776745,-15584316.7216631,-98952.5638635381,-458499.129386884,-12047.5886843323,-424364.424759944,-5238547.55668472,-45937.56354291,1.36323412181191
